date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
03:29:17	5760/5760	---MCZ	200	added ('OK')	text/css	etag:W/%22e537a3173562d71:0-gzip%22	https://cdn-0.paraphrasing-tool.com/css/app_5.css	J:scrape/scrape/cdn-0.paraphrasing-tool.com/css/app_5.css	(from https://paraphrasing-tool.com/)
03:29:19	1387/1387	---M--	200	added ('OK')	image/png	etag:%22605a2b6fb65cd71:0-gzip%22	https://paraphrasing-tool.com/favicon-16x16.png	J:scrape/scrape/paraphrasing-tool.com/favicon-16x16.png	(from https://paraphrasing-tool.com/)
03:29:20	1780/1780	---M-Z	200	added ('OK')	image/png	etag:%22d1ee2f6fb65cd71:0-gzip%22	https://paraphrasing-tool.com/favicon-32x32.png	J:scrape/scrape/paraphrasing-tool.com/favicon-32x32.png	(from https://paraphrasing-tool.com/)
03:29:21	3165/3165	---MCZ	200	added ('OK')	image/png	etag:%22b2cc366fb65cd71:0-gzip%22	https://paraphrasing-tool.com/favicon-96x96.png	J:scrape/scrape/paraphrasing-tool.com/favicon-96x96.png	(from https://paraphrasing-tool.com/)
03:29:22	0/0	---MC-	302	error ('Moved%20Temporarily')	text/html	date:Mon,%2021%20Jun%202021%2021:29:22%20GMT	https://hcaptcha.com/1/api.js	J:scrape/scrape/hcaptcha.com/1/api.18.delayed	(from https://paraphrasing-tool.com/)
03:29:24	3224/3224	---M-Z	200	added ('OK')	application/x-javascript	etag:%222e26c6dda3e38e8d27d09ac8d90743ca%22	http://connect.facebook.net/en_US/sdk.js	J:scrape/scrape/connect.facebook.net/en_US/sdk.js	(from https://paraphrasing-tool.com/)
03:29:24	122366/122366	---MCZ	200	added ('OK')	application/javascript	etag:W/%22ab1425e6135ea92650c19835c5026c2d%22	https://newassets.hcaptcha.com/captcha/v1/e5fe6c7/hcaptcha.js	J:scrape/scrape/newassets.hcaptcha.com/captcha/v1/e5fe6c7/hcaptcha.js	(from https://paraphrasing-tool.com/)
03:29:24	28/28	---M--	200	added ('OK')	application/x-javascript	etag:%22035958ae7d51:0-gzip%22	https://cdn-0.paraphrasing-tool.com/js/ads.js	J:scrape/scrape/cdn-0.paraphrasing-tool.com/js/ads.js	(from https://paraphrasing-tool.com/)
03:29:24	36/36	---M--	200	added ('OK')	application/x-javascript	etag:%220d31b70b65cd71:0-gzip%22	https://cdn-0.paraphrasing-tool.com/js/adsbygoogle.js	J:scrape/scrape/cdn-0.paraphrasing-tool.com/js/adsbygoogle.js	(from https://paraphrasing-tool.com/)
03:29:24	32/32	---M--	200	added ('OK')	application/x-javascript	etag:%22035958ae7d51:0-gzip%22	https://cdn-0.paraphrasing-tool.com/js/showads.js	J:scrape/scrape/cdn-0.paraphrasing-tool.com/js/showads.js	(from https://paraphrasing-tool.com/)
03:29:26	108/108	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%220def8ae5cfed61:0-gzip%22	https://cdn-0.paraphrasing-tool.com/js/ad-blocker.js	J:scrape/scrape/cdn-0.paraphrasing-tool.com/js/ad-blocker.js	(from https://paraphrasing-tool.com/)
03:29:28	49153/49153	---MC-	200	added ('OK')	text/javascript	date:Fri,%2009%20Apr%202021%2023:59:54%20GMT	http://www.google-analytics.com/analytics.js	J:scrape/scrape/www.google-analytics.com/analytics.js	(from https://paraphrasing-tool.com/)
03:29:29	22647/22647	---MCZ	200	added ('OK')	text/html	date:Mon,%2021%20Jun%202021%2021:29:27%20GMT	https://paraphrasing-tool.com/NoMoreAds	J:scrape/scrape/paraphrasing-tool.com/NoMoreAds.html	(from https://paraphrasing-tool.com/)
03:29:32	242858/242858	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%22a73161ea1dfcd61:0-gzip%22	https://cdn-0.paraphrasing-tool.com/js/vendor/foundation.js	J:scrape/scrape/cdn-0.paraphrasing-tool.com/js/vendor/foundation.js	(from https://paraphrasing-tool.com/)
03:29:36	89476/89476	---M--	200	added ('OK')	text/javascript	date:Fri,%2008%20May%202020%2007:05:03%20GMT	http://ajax.googleapis.com/ajax/libs/jquery/3.5.1/jquery.min.js	J:scrape/scrape/ajax.googleapis.com/ajax/libs/jquery/3.5.1/jquery.min.js	(from https://paraphrasing-tool.com/)
03:29:36	1038340/1038340	---M--	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	https://ajax.googleapis.com/ajax/libs/angularjs/1.4.1/angular.js	J:scrape/scrape/ajax.googleapis.com/ajax/libs/angularjs/1.4.1/angular.js	(from https://paraphrasing-tool.com/)
03:29:36	41/41	---M--	200	added ('OK')	application/x-javascript	etag:%22fef51d70b65cd71:0-gzip%22	https://cdn-0.paraphrasing-tool.com/js/app.js	J:scrape/scrape/cdn-0.paraphrasing-tool.com/js/app.js	(from https://paraphrasing-tool.com/)
03:29:38	206/206	---M--	200	added ('OK')	text/javascript	date:Mon,%2021%20Jun%202021%2021:29:38%20GMT	https://paraphrasing-tool.com/audins.js	J:scrape/scrape/paraphrasing-tool.com/audins.js	(from https://paraphrasing-tool.com/)
03:29:38	421/421	---M--	200	added ('OK')	application/javascript	date:Fri,%2011%20Jun%202021%2023:12:02%20GMT	http://go.ezoic.net/detroitchicago/audins.js?cb=195-1	J:scrape/scrape/go.ezoic.net/detroitchicago/audins23f3.js	(from https://paraphrasing-tool.com/)
03:29:38	35/35	---M--	200	added ('OK')	image/gif	date:Mon,%2021%20Jun%202021%2021:29:38%20GMT	http://pixel.quantserve.com/pixel/p-31iz6hfFutd16.gif?labels=Domain.paraphrasing_tool_com,DomainId.25784	J:scrape/scrape/pixel.quantserve.com/pixel/p-31iz6hfFutd16013d.gif	(from https://paraphrasing-tool.com/)
03:29:39	4499/4499	---M-Z	200	added ('OK')	application/javascript	date:Mon,%2021%20Jun%202021%2021:29:39%20GMT	https://paraphrasing-tool.com/tardisrocinante/vitals.js	J:scrape/scrape/paraphrasing-tool.com/tardisrocinante/vitals.js	(from https://paraphrasing-tool.com/)
03:29:39	4499/4499	---M-Z	200	added ('OK')	application/javascript	date:Mon,%2021%20Jun%202021%2021:29:39%20GMT	https://paraphrasing-tool.com/tardisrocinante/vitals.js?gcb=1&cb=3	J:scrape/scrape/paraphrasing-tool.com/tardisrocinante/vitalsc4a9.js	(from https://paraphrasing-tool.com/)
03:29:40	5/5	---M--	200	added ('OK')	text/css	etag:%225f4eedde-5%22	https://p.typekit.net/p.css?s=1&k=lkj8lhx&ht=tk&f=139.140.175.176.579.28235&a=749491&app=typekit&e=css	J:scrape/scrape/p.typekit.net/p61c1.css	(from http://use.typekit.net/lkj8lhx.css)
